"WorkerId","Input.List","SceneID","Description","RefType","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType","FirstWord"
1,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
4,"TlessC1",4,"curved plain line","1","NoContrast","line","curved","red","Min","curved"
5,"TlessC1",4,"curve","1","NoContrast","line","curved","red","Min","curve"
8,"TlessC1",4,"curved line (not arrow)","1","NoContrast","line","curved","red","Min","curved"
10,"TlessC1",4,"curved line no arrow","1","NoContrast","line","curved","red","Min","curved"
11,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
27,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
28,"TlessC1",4,"curved line without arrow","1","NoContrast","line","curved","red","Min","curved"
29,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
31,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
33,"TlessC1",4,"arcing line","1","NoContrast","line","curved","red","Min","arcing"
40,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
41,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
44,"TlessC1",4,"triangle","1","NoContrast","line","curved","red","Min","triangle"
45,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
46,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
47,"TlessC1",4,"curve without arrow","1","NoContrast","line","curved","red","Min","curve"
51,"TlessC1",4,"line","1","NoContrast","line","curved","red","Min","line"
52,"TlessC1",4,"bent line with no arrow","1","NoContrast","line","curved","red","Min","bent"
53,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
58,"TlessC1",4,"line","1","NoContrast","line","curved","red","Min","line"
61,"TlessC1",4,"rainbow with no arrow head","1","NoContrast","line","curved","red","Min","rainbow"
64,"TlessC1",4,"arrowless bend","1","NoContrast","line","curved","red","Min","arrowless"
66,"TlessC1",4,"curved line","1","NoContrast","line","curved","red","Min","curved"
68,"TlessC1",4,"curved line without arrow","1","NoContrast","line","curved","red","Min","curved"
69,"TlessC1",4,"arc","1","NoContrast","line","curved","red","Min","arc"
70,"TlessC1",4,"angular line","1","NoContrast","line","curved","red","Min","angular"
72,"TlessC1",4,"line","1","NoContrast","line","curved","red","Min","line"
2,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
6,"TlessC1",4,"line with arrow","2","NoContrast","line","curved","red","Min","line"
9,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
12,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
25,"TlessC1",4,"line with arrow","2","NoContrast","line","curved","red","Min","line"
26,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
30,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
32,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
34,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
35,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
36,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
37,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
38,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
39,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
42,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
43,"TlessC1",4,"arrow with triangle","2","NoContrast","line","curved","red","Min","arrow"
48,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
49,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
50,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
54,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
55,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
56,"TlessC1",4,"bent arrow","2","NoContrast","line","curved","red","Min","bent"
57,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
59,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
60,"TlessC1",4,"curved with arrow tip","2","NoContrast","line","curved","red","Min","curved"
63,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
65,"TlessC1",4,"curve arrow","2","NoContrast","line","curved","red","Min","curve"
67,"TlessC1",4,"arrow","2","NoContrast","line","curved","red","Min","arrow"
71,"TlessC1",4,"curved arrow","2","NoContrast","line","curved","red","Min","curved"
1,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
4,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
8,"TlessC1",5,"circle dots","1","Contrast","circle","spotted","yellow","Min","circle"
9,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
10,"TlessC1",5,"multi-dotted circle","1","Contrast","circle","spotted","yellow","Min","multi-dotted"
12,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
25,"TlessC1",5,"circle with dots","1","Contrast","circle","spotted","yellow","Min","circle"
26,"TlessC1",5,"spotted circle","1","Contrast","circle","spotted","yellow","Min","spotted"
27,"TlessC1",5,"circle with dots","1","Contrast","circle","spotted","yellow","Min","circle"
28,"TlessC1",5,"spotted circle","1","Contrast","circle","spotted","yellow","Min","spotted"
29,"TlessC1",5,"spotted circle","1","Contrast","circle","spotted","yellow","Min","spotted"
31,"TlessC1",5,"speckled circle","1","Contrast","circle","spotted","yellow","Min","speckled"
32,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
34,"TlessC1",5,"circle with dots","1","Contrast","circle","spotted","yellow","Min","circle"
37,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
39,"TlessC1",5,"spotted circle","1","Contrast","circle","spotted","yellow","Min","spotted"
40,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
46,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
47,"TlessC1",5,"circle","1","Contrast","circle","spotted","yellow","Min","circle"
49,"TlessC1",5,"circlw with dots","1","Contrast","circle","spotted","yellow","Min","circlw"
52,"TlessC1",5,"circle with dots in it","1","Contrast","circle","spotted","yellow","Min","circle"
54,"TlessC1",5,"spotted circle","1","Contrast","circle","spotted","yellow","Min","spotted"
55,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
57,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
61,"TlessC1",5,"circle with many dots","1","Contrast","circle","spotted","yellow","Min","circle"
65,"TlessC1",5,"circle dots","1","Contrast","circle","spotted","yellow","Min","circle"
66,"TlessC1",5,"dotted circle","1","Contrast","circle","spotted","yellow","Min","dotted"
68,"TlessC1",5,"circle with dots","1","Contrast","circle","spotted","yellow","Min","circle"
69,"TlessC1",5,"cheese","1","Contrast","circle","spotted","yellow","Min","cheese"
2,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
5,"TlessC1",5,"nasty square dots","2","Contrast","circle","spotted","yellow","Min","nasty"
6,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
11,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
30,"TlessC1",5,"largest concentration dots","2","Contrast","circle","spotted","yellow","Min","largest"
33,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
35,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
36,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
38,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
41,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
42,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
43,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
44,"TlessC1",5,"triangle","2","Contrast","circle","spotted","yellow","Min","triangle"
45,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
48,"TlessC1",5,"square","2","Contrast","circle","spotted","yellow","Min","square"
50,"TlessC1",5,"square with dots","2","Contrast","circle","spotted","yellow","Min","square"
51,"TlessC1",5,"box","2","Contrast","circle","spotted","yellow","Min","box"
