"cond","pragContext","window","Region","trialType","quarter","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","competitor","test",2,"small","bottle",1,0,0,0,0.23015873015873
"contrast","unreliable","adjective","other","test",2,"small","bottle",1,0,0,0,0.295634920634921
"contrast","unreliable","adjective","target","test",2,"small","cat",1,1,1,1,0.400793650793651
"contrast","unreliable","adjective","competitor","test",2,"small","cat",1,0,0,0,0.279761904761905
"contrast","unreliable","adjective","other","test",2,"small","cat",1,0,0,0,0.319444444444444
"contrast","unreliable","adjective","target","test",2,"small","cookie",1,1,1,1,0.399470899470899
"contrast","unreliable","adjective","competitor","test",2,"small","cookie",1,0,0,0,0.256613756613757
"contrast","unreliable","adjective","other","test",2,"small","cookie",1,0,0,0,0.343915343915344
"contrast","unreliable","adjective","target","test",2,"small","fish",1,1,1,1,0.580865603644647
"contrast","unreliable","adjective","competitor","test",2,"small","fish",1,0,0,0,0.120728929384966
"contrast","unreliable","adjective","other","test",2,"small","fish",1,0,0,0,0.298405466970387
"contrast","unreliable","adjective","target","test",2,"small","flower",1,1,1,1,0.357142857142857
"contrast","unreliable","adjective","competitor","test",2,"small","flower",1,0,0,0,0.0634920634920635
"contrast","unreliable","adjective","other","test",2,"small","flower",1,0,0,0,0.579365079365079
"contrast","unreliable","adjective","target","test",2,"small","icecream",1,0.8,0.4,1,0.706349206349206
"contrast","unreliable","adjective","competitor","test",2,"small","icecream",1,0.2,0,0.6,0.277777777777778
"contrast","unreliable","adjective","other","test",2,"small","icecream",1,0,0,0,0.0158730158730159
"contrast","unreliable","adjective","target","test",2,"small","lobster",1,0.714285714285714,0.428571428571429,1,0.431216931216931
"contrast","unreliable","adjective","competitor","test",2,"small","lobster",1,0,0,0,0.240740740740741
"contrast","unreliable","adjective","other","test",2,"small","lobster",1,0.285714285714286,0,0.714285714285714,0.328042328042328
"contrast","unreliable","adjective","target","test",2,"small","monkey",1,1,1,1,0.282714054927302
"contrast","unreliable","adjective","competitor","test",2,"small","monkey",1,0,0,0,0.381260096930533
"contrast","unreliable","adjective","other","test",2,"small","monkey",1,0,0,0,0.336025848142165
"contrast","unreliable","adjective","target","test",3,"big","ball",1,0.5,0,1,0.200396825396825
"contrast","unreliable","adjective","competitor","test",3,"big","ball",1,0,0,0,0.0952380952380952
"contrast","unreliable","adjective","other","test",3,"big","ball",1,0.5,0,1,0.704365079365079
"contrast","unreliable","adjective","target","test",3,"big","ballerina",1,0.5,0,1,0.136904761904762
"contrast","unreliable","adjective","competitor","test",3,"big","ballerina",1,0.5,0,1,0.676587301587302
"contrast","unreliable","adjective","other","test",3,"big","ballerina",1,0,0,0,0.186507936507937
"contrast","unreliable","adjective","target","test",3,"big","corn",1,1,1,1,0.377425044091711
"contrast","unreliable","adjective","competitor","test",3,"big","corn",1,0,0,0,0.490299823633157
"contrast","unreliable","adjective","other","test",3,"big","corn",1,0,0,0,0.132275132275132
"contrast","unreliable","adjective","target","test",3,"big","dog",1,0.833333333333333,0.5,1,0.652380952380952
"contrast","unreliable","adjective","competitor","test",3,"big","dog",1,0.166666666666667,0,0.5,0.107936507936508
"contrast","unreliable","adjective","other","test",3,"big","dog",1,0,0,0,0.23968253968254
"contrast","unreliable","adjective","target","test",3,"big","hat",1,0.75,0.25,1,0.512471655328798
"contrast","unreliable","adjective","competitor","test",3,"big","hat",1,0.25,0,0.75,0.142857142857143
"contrast","unreliable","adjective","other","test",3,"big","hat",1,0,0,0,0.344671201814059
"contrast","unreliable","adjective","target","test",3,"big","lock",1,0.666666666666667,0.333333333333333,1,0.421356421356421
"contrast","unreliable","adjective","competitor","test",3,"big","lock",1,0.333333333333333,0,0.666666666666667,0.23953823953824
