"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","noun","target","test","small","backpack",1,1,1,1,0.652901785714286
"contrast","unreliable","noun","competitor","test","small","backpack",1,0,0,0,0.162946428571429
"contrast","unreliable","noun","other","test","small","backpack",1,0,0,0,0.184151785714286
"contrast","unreliable","noun","target","test","small","bird",1,1,1,1,0.702414373947221
"contrast","unreliable","noun","competitor","test","small","bird",1,0,0,0,0.06850084222347
"contrast","unreliable","noun","other","test","small","bird",1,0,0,0,0.229084783829309
"contrast","unreliable","noun","target","test","small","bottle",1,1,1,1,0.742745535714286
"contrast","unreliable","noun","competitor","test","small","bottle",1,0,0,0,0.0876116071428571
"contrast","unreliable","noun","other","test","small","bottle",1,0,0,0,0.169642857142857
"contrast","unreliable","noun","target","test","small","cat",1,1,1,1,0.69921875
"contrast","unreliable","noun","competitor","test","small","cat",1,0,0,0,0.139508928571429
"contrast","unreliable","noun","other","test","small","cat",1,0,0,0,0.161272321428571
"contrast","unreliable","noun","target","test","small","cookie",1,1,1,1,0.623883928571429
"contrast","unreliable","noun","competitor","test","small","cookie",1,0,0,0,0.156808035714286
"contrast","unreliable","noun","other","test","small","cookie",1,0,0,0,0.219308035714286
"contrast","unreliable","noun","target","test","small","fish",1,1,1,1,0.547085201793722
"contrast","unreliable","noun","competitor","test","small","fish",1,0,0,0,0.201793721973094
"contrast","unreliable","noun","other","test","small","fish",1,0,0,0,0.251121076233184
"contrast","unreliable","noun","target","test","small","flower",1,1,1,1,0.643973214285714
"contrast","unreliable","noun","competitor","test","small","flower",1,0,0,0,0.185825892857143
"contrast","unreliable","noun","other","test","small","flower",1,0,0,0,0.170200892857143
"contrast","unreliable","noun","target","test","small","icecream",1,1,1,1,0.509836987071388
"contrast","unreliable","noun","competitor","test","small","icecream",1,0,0,0,0.323215289488477
"contrast","unreliable","noun","other","test","small","icecream",1,0,0,0,0.166947723440135
"contrast","unreliable","noun","target","test","small","lobster",1,1,1,1,0.559709821428571
"contrast","unreliable","noun","competitor","test","small","lobster",1,0,0,0,0.15234375
"contrast","unreliable","noun","other","test","small","lobster",1,0,0,0,0.287946428571429
"contrast","unreliable","noun","target","test","small","monkey",1,1,1,1,0.505022321428571
"contrast","unreliable","noun","competitor","test","small","monkey",1,0,0,0,0.228794642857143
"contrast","unreliable","noun","other","test","small","monkey",1,0,0,0,0.266183035714286
"contrast","unreliable","prior","target","test","big","ball",1,0.555555555555556,0.331944444444444,0.777777777777778,0.35
"contrast","unreliable","prior","competitor","test","big","ball",1,0.222222222222222,0.0555555555555556,0.444444444444444,0.203703703703704
"contrast","unreliable","prior","other","test","big","ball",1,0.222222222222222,0.0555555555555556,0.388888888888889,0.446296296296296
"contrast","unreliable","prior","target","test","big","ballerina",1,0.294117647058824,0.117647058823529,0.529411764705882,0.344313238036047
"contrast","unreliable","prior","competitor","test","big","ballerina",1,0.294117647058824,0.117647058823529,0.529411764705882,0.289620882535736
"contrast","unreliable","prior","other","test","big","ballerina",1,0.411764705882353,0.176470588235294,0.647058823529412,0.366065879428216
"contrast","unreliable","prior","target","test","big","corn",1,0.277777777777778,0.111111111111111,0.5,0.218137254901961
"contrast","unreliable","prior","competitor","test","big","corn",1,0.166666666666667,0,0.333333333333333,0.432598039215686
"contrast","unreliable","prior","other","test","big","corn",1,0.555555555555556,0.333333333333333,0.777777777777778,0.349264705882353
"contrast","unreliable","prior","target","test","big","dog",1,0.5,0.277777777777778,0.722222222222222,0.279901356350185
"contrast","unreliable","prior","competitor","test","big","dog",1,0.333333333333333,0.111111111111111,0.555555555555556,0.297163995067817
"contrast","unreliable","prior","other","test","big","dog",1,0.166666666666667,0,0.333333333333333,0.422934648581998
"contrast","unreliable","prior","target","test","big","hat",1,0.388888888888889,0.166666666666667,0.611111111111111,0.324142156862745
"contrast","unreliable","prior","competitor","test","big","hat",1,0.277777777777778,0.111111111111111,0.5,0.237132352941176
"contrast","unreliable","prior","other","test","big","hat",1,0.333333333333333,0.111111111111111,0.555555555555556,0.438725490196078
"contrast","unreliable","prior","target","test","big","lock",1,0.444444444444444,0.222222222222222,0.666666666666667,0.358455882352941
"contrast","unreliable","prior","competitor","test","big","lock",1,0.166666666666667,0,0.388888888888889,0.259191176470588
"contrast","unreliable","prior","other","test","big","lock",1,0.388888888888889,0.166666666666667,0.611111111111111,0.382352941176471
"contrast","unreliable","prior","target","test","big","pear",1,0.388888888888889,0.166666666666667,0.611111111111111,0.302696078431373
"contrast","unreliable","prior","competitor","test","big","pear",1,0.222222222222222,0.0555555555555556,0.444444444444444,0.186274509803922
"contrast","unreliable","prior","other","test","big","pear",1,0.388888888888889,0.166666666666667,0.611111111111111,0.511029411764706
"contrast","unreliable","prior","target","test","big","pickle",1,0.5,0.277777777777778,0.722222222222222,0.313737623762376
"contrast","unreliable","prior","competitor","test","big","pickle",1,0.333333333333333,0.111111111111111,0.555555555555556,0.256188118811881
"contrast","unreliable","prior","other","test","big","pickle",1,0.166666666666667,0,0.333333333333333,0.430074257425743
"contrast","unreliable","prior","target","test","big","plant",1,0.333333333333333,0.111111111111111,0.555555555555556,0.325980392156863
"contrast","unreliable","prior","competitor","test","big","plant",1,0.222222222222222,0.0555555555555556,0.444444444444444,0.20281862745098
"contrast","unreliable","prior","other","test","big","plant",1,0.444444444444444,0.222222222222222,0.666666666666667,0.471200980392157
"contrast","unreliable","prior","target","test","big","ribbon",1,0.294117647058824,0.0588235294117647,0.529411764705882,0.343137254901961
"contrast","unreliable","prior","competitor","test","big","ribbon",1,0.294117647058824,0.117647058823529,0.529411764705882,0.368259803921569
"contrast","unreliable","prior","other","test","big","ribbon",1,0.411764705882353,0.176470588235294,0.647058823529412,0.288602941176471
"contrast","unreliable","prior","target","test","small","backpack",1,0.388888888888889,0.166666666666667,0.611111111111111,0.378063725490196
"contrast","unreliable","prior","competitor","test","small","backpack",1,0.166666666666667,0,0.333333333333333,0.127450980392157
"contrast","unreliable","prior","other","test","small","backpack",1,0.444444444444444,0.222222222222222,0.666666666666667,0.494485294117647
"contrast","unreliable","prior","target","test","small","bird",1,0.388888888888889,0.166666666666667,0.611111111111111,0.248466257668712
"contrast","unreliable","prior","competitor","test","small","bird",1,0.333333333333333,0.111111111111111,0.555555555555556,0.177300613496933
"contrast","unreliable","prior","other","test","small","bird",1,0.277777777777778,0.0555555555555556,0.5,0.574233128834356
"contrast","unreliable","prior","target","test","small","bottle",1,0.111111111111111,0,0.277777777777778,0.177083333333333
"contrast","unreliable","prior","competitor","test","small","bottle",1,0.388888888888889,0.166666666666667,0.611111111111111,0.381127450980392
"contrast","unreliable","prior","other","test","small","bottle",1,0.5,0.277777777777778,0.722222222222222,0.441789215686274
"contrast","unreliable","prior","target","test","small","cat",1,0.166666666666667,0,0.333333333333333,0.307314074984634
"contrast","unreliable","prior","competitor","test","small","cat",1,0.555555555555556,0.333333333333333,0.777777777777778,0.299938537185003
"contrast","unreliable","prior","other","test","small","cat",1,0.277777777777778,0.111111111111111,0.5,0.392747387830363
"contrast","unreliable","prior","target","test","small","cookie",1,0.111111111111111,0,0.277777777777778,0.145220588235294
"contrast","unreliable","prior","competitor","test","small","cookie",1,0.666666666666667,0.388888888888889,0.834722222222221,0.20281862745098
"contrast","unreliable","prior","other","test","small","cookie",1,0.222222222222222,0.0555555555555556,0.388888888888889,0.651960784313726
"contrast","unreliable","prior","target","test","small","fish",1,0.0555555555555556,0,0.166666666666667,0.280637254901961
"contrast","unreliable","prior","competitor","test","small","fish",1,0.444444444444444,0.222222222222222,0.666666666666667,0.251838235294118
"contrast","unreliable","prior","other","test","small","fish",1,0.5,0.277777777777778,0.722222222222222,0.467524509803922
"contrast","unreliable","prior","target","test","small","flower",1,0.111111111111111,0,0.277777777777778,0.128676470588235
