WorkerId,Input.List,SceneID,Description,RefType,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,FirstWord,TargetModificationType,ExactMatch,InitialMatch,MorphemeIncluded,SynFirst,SynIncluded
61,TlessC1,3,angel with no arrow head,1,Contrast,line,bent,green,Min,angel,0,0,0,0,0,0
63,TlessC1,3,angle line,1,Contrast,line,bent,green,Min,angle,0,0,0,0,0,0
65,TlessC1,3,bottom right,1,Contrast,line,bent,green,Min,bottom,!,0,0,0,0,0
66,TlessC1,3,bent line,1,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
67,TlessC1,3,bent line with no arrow,1,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
68,TlessC1,3,bent line without arrow,1,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
71,TlessC1,3,bent line,1,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
1,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
2,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
4,TlessC1,3,bent arrow,2,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
5,TlessC1,3,angular arrow,2,Contrast,line,bent,green,Min,angular,0,0,0,0,0,0
6,TlessC1,3,angled arrow,2,Contrast,line,bent,green,Min,angled,0,0,0,0,0,0
11,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
28,TlessC1,3,angled arrow,2,Contrast,line,bent,green,Min,angled,0,0,0,0,0,0
30,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
34,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
36,TlessC1,3,bent arrow,2,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
37,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
38,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
39,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
40,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
41,TlessC1,3,angle with an arrow,2,Contrast,line,bent,green,Min,angle,0,0,0,0,0,0
42,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
45,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
46,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
48,TlessC1,3,angled line that is an arrow,2,Contrast,line,bent,green,Min,angled,0,0,0,0,0,0
51,TlessC1,3,line with arrow,2,Contrast,line,bent,green,Min,line,0,0,0,0,0,0
52,TlessC1,3,bent line with an arrow,2,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
53,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
55,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
56,TlessC1,3,bent arrow,2,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
58,TlessC1,3,arrow,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
60,TlessC1,3,bent line with arrow,2,Contrast,line,bent,green,Min,bent,1,1,1,1,1,1
64,TlessC1,3,arrowed bend,2,Contrast,line,bent,green,Min,arrowed,N,0,0,1,0,1
69,TlessC1,3,chart line,2,Contrast,line,bent,green,Min,chart,0,0,0,0,0,0
70,TlessC1,3,arrow that points right,2,Contrast,line,bent,green,Min,arrow,0,0,0,0,0,0
72,TlessC1,3,line with arrow,2,Contrast,line,bent,green,Min,line,0,0,0,0,0,0
1,TlessC1,4,arc,1,NoContrast,line,curved,red,Min,arc,0,0,0,0,ca,ca
4,TlessC1,4,curved plain line,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
5,TlessC1,4,curve,1,NoContrast,line,curved,red,Min,curve,N,0,1,1,1,1
8,TlessC1,4,curved line (not arrow),1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
10,TlessC1,4,curved line no arrow,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
11,TlessC1,4,curved line,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
27,TlessC1,4,arc,1,NoContrast,line,curved,red,Min,arc,0,0,0,0,ca,ca
28,TlessC1,4,curved line without arrow,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
29,TlessC1,4,arc,1,NoContrast,line,curved,red,Min,arc,0,0,0,0,ca,ca
31,TlessC1,4,arc,1,NoContrast,line,curved,red,Min,arc,0,0,0,0,ca,ca
33,TlessC1,4,arcing line,1,NoContrast,line,curved,red,Min,arcing,0,0,0,0,ca,ca
40,TlessC1,4,curved line,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
41,TlessC1,4,curved line,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
44,TlessC1,4,triangle,1,NoContrast,line,curved,red,Min,triangle,!,0,0,0,0,0
45,TlessC1,4,curved line,1,NoContrast,line,curved,red,Min,curved,1,1,1,1,1,1
46,TlessC1,4,arc,1,NoContrast,line,curved,red,Min,arc,0,0,0,0,ca,ca
47,TlessC1,4,curve without arrow,1,NoContrast,line,curved,red,Min,curve,N,0,1,1,1,1
51,TlessC1,4,line,1,NoContrast,line,curved,red,Min,line,0,0,0,0,0,0
