"Input.List","SceneID","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType","ExactFirstWordUniPrior","InitialMatchUniPrior","MorphemeIncludedUniPrior","SynFirstUniPrior","SynIncludedUniPrior","ExactFirstWordEmpPrior","InitialMatchEmpPrior","MorphemeIncludedEmpPrior","SynFirstEmpPrior","SynIncludedEmpPrior"
"TlessC2",6,"Contrast","square","striped","yellow","Min",0.133333333333333,0.141666666666667,0.15,0.133333333333333,0.15,0.139464285714286,0.14875,0.158035714285714,0.139464285714286,0.158035714285714
"TlessC2",7,"NoContrast","triangle","bumpy","red","Min",0,0,0,0,0,0,0,0,0,0
"TlessC2",8,"Contrast","line","curved","blue","Min",0.158333333333333,0.208333333333333,0.216666666666667,0.258333333333333,0.275,0.128676307007786,0.167452725250278,0.173659621802002,0.207764182424917,0.221713014460512
"TlessC2",9,"NoContrast","square","spotted","yellow","Min",0.00833333333333336,0.00833333333333336,0.00833333333333336,0.0333333333333333,0.0583333333333333,0.00648648648648647,0.00648648648648647,0.00648648648648647,0.0286251468860165,0.0480846063454759
"TlessC2",10,"Contrast","triangle","striped","red","Min",0.15,0.158333333333333,0.158333333333333,0.158333333333333,0.158333333333333,0.117432605905006,0.122798459563543,0.122798459563543,0.122798459563543,0.122798459563543
"TlessC2",11,"NoContrast","cirlce","flat","green","Max",0,0,0,0,0,0,0,0,0,0
"TlessC2",12,"Contrast","circle","closed","green","Max",0,0,0.0166666666666667,0,0.0166666666666667,0,0,0.020952380952381,0,0.020952380952381
"TlessC2",13,"NoContrast","line","straight ","blue","Max",0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.00631578947368422,0.00631578947368422,0.00631578947368422,0.00631578947368422,0.00631578947368422
"TlessC2",14,"Contrast","cube","full ","yellow","Max",0.00833333333333336,0.075,0.166666666666667,0.125,0.225,0.0126666666666667,0.106,0.245333333333333,0.182,0.334
"TlessC2",15,"NoContrast","cube","empty ","transparent","Max",0.025,0.025,0.0333333333333333,0.025,0.0333333333333333,0.0319466073414905,0.0319466073414905,0.047119021134594,0.0319466073414905,0.047119021134594
"TlessC2",16,"Contrast","triangle","flat","yellow","Max",0,0,0,0,0,0,0,0,0,0
"TlessC2",17,"NoContrast","circle","closed","blue","Max",0,0,0,0,0,0,0,0,0,0
"TlessC2",18,"Contrast","line","straight","red","Max",0.00833333333333336,0.00833333333333336,0.05,0.0166666666666667,0.05,0.00709677419354838,0.00709677419354838,0.0277864293659622,0.0112347052280311,0.0277864293659622
"TlessC2",19,"NoContrast","cylinder","full ","blue","Max",0.0166666666666667,0.0166666666666667,0.0416666666666667,0.0166666666666667,0.05,0.0172972972972973,0.0172972972972973,0.0432432432432432,0.0172972972972973,0.0518918918918919
"TlessC2",20,"Contrast","cylinder","empty ","transparent","Max",0.00833333333333336,0.025,0.133333333333333,0.025,0.133333333333333,0.00709677419354838,0.0195105672969967,0.10020022246941,0.0195105672969967,0.10020022246941
"TlessC2",21,"NoContrast","line","long ","red","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC2",22,"Contrast","line","short ","blue","Rel",0.116666666666667,0.183333333333333,0.191666666666667,0.183333333333333,0.191666666666667,0.07,0.11,0.115,0.11,0.115
"TlessC2",23,"NoContrast","square","big","red","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC2",24,"Contrast","triangle","small","yellow","Rel",0.0916666666666667,0.2,0.2,0.2,0.2,0.0762443438914027,0.160361990950226,0.160361990950226,0.160361990950226,0.160361990950226
"TlessC2",25,"NoContrast","oval","wide","green","Rel",0,0,0,0,0,0,0,0,0,0
"TlessC2",26,"Contrast","rectangle","narrow","red","Rel",0.0166666666666667,0.0166666666666667,0.0166666666666667,0.175,0.175,0.015,0.015,0.015,0.157777777777778,0.157777777777778
"TlessC2",27,"NoContrast","spiral","tall","blue","Rel",0,0,0,0,0,0,0,0,0,0
