condition,target.adjective,target.noun,target.color,itemid,adjectivetype,Window,Region,totalLooks,Proportion
contrast,long,line,red,21,rel,adjective,distractor.contrast,36,0.151898734177215
contrast,long,line,red,21,rel,adjective,target,127,0.535864978902954
contrast,long,line,red,21,rel,noun,competitor,3,0.0789473684210526
contrast,long,line,red,21,rel,noun,target,35,0.921052631578947
contrast,long,line,red,21,rel,prior,competitor,79,0.344978165938865
contrast,long,line,red,21,rel,prior,distractor,20,0.0873362445414847
contrast,long,line,red,21,rel,prior,distractor.contrast,26,0.11353711790393
contrast,long,line,red,21,rel,prior,target,104,0.454148471615721
contrast,narrow,oval,red,36,rel,adjective,competitor,151,0.563432835820896
contrast,narrow,oval,red,36,rel,adjective,distractor,11,0.041044776119403
contrast,narrow,oval,red,36,rel,adjective,distractor.contrast,60,0.223880597014925
contrast,narrow,oval,red,36,rel,adjective,target,46,0.171641791044776
contrast,narrow,oval,red,36,rel,prior,competitor,70,0.339805825242718
contrast,narrow,oval,red,36,rel,prior,distractor,58,0.281553398058252
contrast,narrow,oval,red,36,rel,prior,distractor.contrast,54,0.262135922330097
contrast,narrow,oval,red,36,rel,prior,target,24,0.116504854368932
contrast,narrow,rectangle,red,26,rel,adjective,competitor,34,0.124542124542125
contrast,narrow,rectangle,red,26,rel,adjective,distractor.contrast,33,0.120879120879121
contrast,narrow,rectangle,red,26,rel,adjective,target,206,0.754578754578755
contrast,narrow,rectangle,red,26,rel,noun,distractor.contrast,6,0.545454545454545
contrast,narrow,rectangle,red,26,rel,noun,target,5,0.454545454545455
contrast,narrow,rectangle,red,26,rel,prior,competitor,68,0.257575757575758
contrast,narrow,rectangle,red,26,rel,prior,distractor.contrast,89,0.337121212121212
contrast,narrow,rectangle,red,26,rel,prior,target,107,0.40530303030303
contrast,short,cylinder,green,38,rel,adjective,competitor,130,0.448275862068966
contrast,short,cylinder,green,38,rel,adjective,distractor,13,0.0448275862068966
contrast,short,cylinder,green,38,rel,adjective,distractor.contrast,52,0.179310344827586
contrast,short,cylinder,green,38,rel,adjective,target,95,0.327586206896552
contrast,short,cylinder,green,38,rel,prior,competitor,93,0.354961832061069
contrast,short,cylinder,green,38,rel,prior,distractor,83,0.316793893129771
contrast,short,cylinder,green,38,rel,prior,distractor.contrast,34,0.129770992366412
contrast,short,cylinder,green,38,rel,prior,target,52,0.198473282442748
contrast,short,line,blue,22,rel,adjective,competitor,61,0.204013377926421
contrast,short,line,blue,22,rel,adjective,distractor.contrast,81,0.270903010033445
contrast,short,line,blue,22,rel,adjective,target,157,0.525083612040134
contrast,short,line,blue,22,rel,prior,competitor,75,0.412087912087912
contrast,short,line,blue,22,rel,prior,distractor,26,0.142857142857143
contrast,short,line,blue,22,rel,prior,distractor.contrast,27,0.148351648351648
contrast,short,line,blue,22,rel,prior,target,54,0.296703296703297
contrast,short,line,red,32,rel,adjective,competitor,19,0.0595611285266458
contrast,short,line,red,32,rel,adjective,distractor,1,0.00313479623824451
contrast,short,line,red,32,rel,adjective,distractor.contrast,74,0.231974921630094
contrast,short,line,red,32,rel,adjective,target,225,0.705329153605016
contrast,short,line,red,32,rel,prior,competitor,50,0.210084033613445
contrast,short,line,red,32,rel,prior,distractor,72,0.302521008403361
contrast,short,line,red,32,rel,prior,distractor.contrast,57,0.239495798319328
contrast,short,line,red,32,rel,prior,target,59,0.247899159663866
contrast,short,spiral,red,28,rel,adjective,competitor,69,0.246428571428571
contrast,short,spiral,red,28,rel,adjective,distractor,20,0.0714285714285714
contrast,short,spiral,red,28,rel,adjective,distractor.contrast,39,0.139285714285714
contrast,short,spiral,red,28,rel,adjective,target,152,0.542857142857143
contrast,short,spiral,red,28,rel,noun,competitor,4,0.2
contrast,short,spiral,red,28,rel,noun,distractor.contrast,2,0.1
contrast,short,spiral,red,28,rel,noun,target,14,0.7
contrast,short,spiral,red,28,rel,prior,competitor,62,0.261603375527426
contrast,short,spiral,red,28,rel,prior,distractor,33,0.139240506329114
contrast,short,spiral,red,28,rel,prior,distractor.contrast,53,0.223628691983122
contrast,short,spiral,red,28,rel,prior,target,89,0.375527426160338
contrast,small,square,blue,34,rel,adjective,competitor,135,0.511363636363636
contrast,small,square,blue,34,rel,adjective,distractor,62,0.234848484848485
contrast,small,square,blue,34,rel,adjective,distractor.contrast,32,0.121212121212121
contrast,small,square,blue,34,rel,adjective,target,35,0.132575757575758
contrast,small,square,blue,34,rel,prior,competitor,80,0.31496062992126
contrast,small,square,blue,34,rel,prior,distractor,81,0.318897637795276
contrast,small,square,blue,34,rel,prior,distractor.contrast,27,0.106299212598425
contrast,small,square,blue,34,rel,prior,target,66,0.259842519685039
contrast,small,triangle,yellow,24,rel,adjective,competitor,79,0.312252964426877
contrast,small,triangle,yellow,24,rel,adjective,distractor,32,0.126482213438735
contrast,small,triangle,yellow,24,rel,adjective,distractor.contrast,63,0.24901185770751
contrast,small,triangle,yellow,24,rel,adjective,target,79,0.312252964426877
contrast,small,triangle,yellow,24,rel,prior,competitor,93,0.372
contrast,small,triangle,yellow,24,rel,prior,distractor,48,0.192
contrast,small,triangle,yellow,24,rel,prior,distractor.contrast,19,0.076
contrast,small,triangle,yellow,24,rel,prior,target,90,0.36
contrast,straight,line,blue,13,max,adjective,competitor,98,0.429824561403509
contrast,straight,line,blue,13,max,adjective,distractor,10,0.043859649122807
contrast,straight,line,blue,13,max,adjective,distractor.contrast,30,0.131578947368421
contrast,straight,line,blue,13,max,adjective,target,90,0.394736842105263
contrast,straight,line,blue,13,max,noun,competitor,4,0.25
contrast,straight,line,blue,13,max,noun,distractor.contrast,2,0.125
contrast,straight,line,blue,13,max,noun,target,10,0.625
contrast,straight,line,blue,13,max,prior,competitor,31,0.165775401069519
contrast,straight,line,blue,13,max,prior,distractor,44,0.235294117647059
contrast,straight,line,blue,13,max,prior,distractor.contrast,99,0.529411764705882
contrast,straight,line,blue,13,max,prior,target,13,0.0695187165775401
contrast,straight,line,red,18,max,adjective,competitor,138,0.453947368421053
contrast,straight,line,red,18,max,adjective,distractor,2,0.00657894736842105
contrast,straight,line,red,18,max,adjective,distractor.contrast,79,0.259868421052632
contrast,straight,line,red,18,max,adjective,target,85,0.279605263157895
contrast,straight,line,red,18,max,noun,competitor,10,0.526315789473684
contrast,straight,line,red,18,max,noun,distractor.contrast,5,0.263157894736842
contrast,straight,line,red,18,max,noun,target,4,0.210526315789474
contrast,straight,line,red,18,max,prior,competitor,48,0.155339805825243
contrast,straight,line,red,18,max,prior,distractor,109,0.352750809061489
contrast,straight,line,red,18,max,prior,distractor.contrast,25,0.0809061488673139
contrast,straight,line,red,18,max,prior,target,127,0.411003236245955
contrast,tall,cylinder,yellow,37,rel,adjective,competitor,30,0.135746606334842
contrast,tall,cylinder,yellow,37,rel,adjective,distractor,25,0.113122171945701
contrast,tall,cylinder,yellow,37,rel,adjective,distractor.contrast,29,0.131221719457014
contrast,tall,cylinder,yellow,37,rel,adjective,target,137,0.619909502262443
contrast,tall,cylinder,yellow,37,rel,noun,distractor,1,0.111111111111111
contrast,tall,cylinder,yellow,37,rel,noun,distractor.contrast,2,0.222222222222222
contrast,tall,cylinder,yellow,37,rel,noun,target,6,0.666666666666667
contrast,tall,cylinder,yellow,37,rel,prior,competitor,76,0.444444444444444
contrast,tall,cylinder,yellow,37,rel,prior,distractor,8,0.0467836257309941
contrast,tall,cylinder,yellow,37,rel,prior,distractor.contrast,29,0.169590643274854
contrast,tall,cylinder,yellow,37,rel,prior,target,58,0.339181286549708
