condition,target.adjective,target.noun,target.color,itemid,adjectivetype,Window,Region,totalLooks,Proportion
contrast,long,line,red,21,rel,prior,competitor,13,0.171052631578947
contrast,long,line,red,21,rel,prior,distractor,11,0.144736842105263
contrast,long,line,red,21,rel,prior,distractor.contrast,34,0.447368421052632
contrast,long,line,red,21,rel,prior,target,18,0.236842105263158
contrast,narrow,oval,red,36,rel,adjective,competitor,162,0.515923566878981
contrast,narrow,oval,red,36,rel,adjective,distractor,56,0.178343949044586
contrast,narrow,oval,red,36,rel,adjective,distractor.contrast,73,0.232484076433121
contrast,narrow,oval,red,36,rel,adjective,target,23,0.0732484076433121
contrast,narrow,oval,red,36,rel,noun,competitor,58,0.379084967320261
contrast,narrow,oval,red,36,rel,noun,distractor,11,0.0718954248366013
contrast,narrow,oval,red,36,rel,noun,distractor.contrast,38,0.248366013071895
contrast,narrow,oval,red,36,rel,noun,target,46,0.300653594771242
contrast,narrow,oval,red,36,rel,prior,competitor,9,0.107142857142857
contrast,narrow,oval,red,36,rel,prior,distractor,26,0.30952380952381
contrast,narrow,oval,red,36,rel,prior,distractor.contrast,34,0.404761904761905
contrast,narrow,oval,red,36,rel,prior,target,15,0.178571428571429
contrast,narrow,rectangle,red,26,rel,adjective,competitor,79,0.230320699708455
contrast,narrow,rectangle,red,26,rel,adjective,distractor.contrast,97,0.282798833819242
contrast,narrow,rectangle,red,26,rel,adjective,target,167,0.486880466472303
contrast,narrow,rectangle,red,26,rel,noun,competitor,25,0.117370892018779
contrast,narrow,rectangle,red,26,rel,noun,distractor.contrast,36,0.169014084507042
contrast,narrow,rectangle,red,26,rel,noun,target,152,0.713615023474178
contrast,narrow,rectangle,red,26,rel,prior,competitor,4,0.0470588235294118
contrast,narrow,rectangle,red,26,rel,prior,distractor,26,0.305882352941176
contrast,narrow,rectangle,red,26,rel,prior,distractor.contrast,33,0.388235294117647
contrast,narrow,rectangle,red,26,rel,prior,target,22,0.258823529411765
contrast,short,cylinder,green,38,rel,adjective,competitor,147,0.412921348314607
contrast,short,cylinder,green,38,rel,adjective,distractor,83,0.23314606741573
contrast,short,cylinder,green,38,rel,adjective,distractor.contrast,51,0.143258426966292
contrast,short,cylinder,green,38,rel,adjective,target,75,0.210674157303371
contrast,short,cylinder,green,38,rel,noun,competitor,76,0.387755102040816
contrast,short,cylinder,green,38,rel,noun,distractor,13,0.0663265306122449
contrast,short,cylinder,green,38,rel,noun,distractor.contrast,35,0.178571428571429
contrast,short,cylinder,green,38,rel,noun,target,72,0.36734693877551
contrast,short,cylinder,green,38,rel,prior,competitor,17,0.197674418604651
contrast,short,cylinder,green,38,rel,prior,distractor,59,0.686046511627907
contrast,short,cylinder,green,38,rel,prior,distractor.contrast,6,0.0697674418604651
contrast,short,cylinder,green,38,rel,prior,target,4,0.0465116279069767
contrast,short,line,blue,22,rel,adjective,competitor,106,0.323170731707317
contrast,short,line,blue,22,rel,adjective,distractor,21,0.0640243902439024
contrast,short,line,blue,22,rel,adjective,distractor.contrast,72,0.219512195121951
contrast,short,line,blue,22,rel,adjective,target,129,0.393292682926829
contrast,short,line,blue,22,rel,noun,competitor,22,0.171875
contrast,short,line,blue,22,rel,noun,distractor.contrast,28,0.21875
contrast,short,line,blue,22,rel,noun,target,78,0.609375
contrast,short,line,blue,22,rel,prior,competitor,25,0.271739130434783
contrast,short,line,blue,22,rel,prior,distractor,11,0.119565217391304
contrast,short,line,blue,22,rel,prior,distractor.contrast,44,0.478260869565217
contrast,short,line,blue,22,rel,prior,target,12,0.130434782608696
contrast,short,line,red,32,rel,adjective,competitor,60,0.15748031496063
contrast,short,line,red,32,rel,adjective,distractor,63,0.165354330708661
contrast,short,line,red,32,rel,adjective,distractor.contrast,110,0.288713910761155
contrast,short,line,red,32,rel,adjective,target,148,0.388451443569554
contrast,short,line,red,32,rel,noun,distractor.contrast,13,0.0909090909090909
contrast,short,line,red,32,rel,noun,target,130,0.909090909090909
contrast,short,line,red,32,rel,prior,competitor,29,0.292929292929293
contrast,short,line,red,32,rel,prior,distractor,31,0.313131313131313
contrast,short,line,red,32,rel,prior,distractor.contrast,18,0.181818181818182
contrast,short,line,red,32,rel,prior,target,21,0.212121212121212
contrast,short,spiral,red,28,rel,adjective,competitor,80,0.226628895184136
contrast,short,spiral,red,28,rel,adjective,distractor,45,0.127478753541076
contrast,short,spiral,red,28,rel,adjective,distractor.contrast,80,0.226628895184136
contrast,short,spiral,red,28,rel,adjective,target,148,0.419263456090652
contrast,short,spiral,red,28,rel,noun,competitor,46,0.278787878787879
contrast,short,spiral,red,28,rel,noun,distractor,5,0.0303030303030303
contrast,short,spiral,red,28,rel,noun,distractor.contrast,11,0.0666666666666667
contrast,short,spiral,red,28,rel,noun,target,103,0.624242424242424
contrast,short,spiral,red,28,rel,prior,competitor,40,0.449438202247191
contrast,short,spiral,red,28,rel,prior,distractor,27,0.303370786516854
contrast,short,spiral,red,28,rel,prior,distractor.contrast,3,0.0337078651685393
contrast,short,spiral,red,28,rel,prior,target,19,0.213483146067416
contrast,small,square,blue,34,rel,adjective,competitor,155,0.423497267759563
contrast,small,square,blue,34,rel,adjective,distractor,110,0.300546448087432
contrast,small,square,blue,34,rel,adjective,distractor.contrast,34,0.092896174863388
contrast,small,square,blue,34,rel,adjective,target,67,0.183060109289617
contrast,small,square,blue,34,rel,noun,competitor,59,0.406896551724138
contrast,small,square,blue,34,rel,noun,distractor,30,0.206896551724138
contrast,small,square,blue,34,rel,noun,distractor.contrast,24,0.16551724137931
contrast,small,square,blue,34,rel,noun,target,32,0.220689655172414
contrast,small,square,blue,34,rel,prior,competitor,12,0.137931034482759
contrast,small,square,blue,34,rel,prior,distractor,51,0.586206896551724
contrast,small,square,blue,34,rel,prior,distractor.contrast,4,0.0459770114942529
contrast,small,square,blue,34,rel,prior,target,20,0.229885057471264
contrast,small,triangle,yellow,24,rel,adjective,competitor,131,0.389880952380952
contrast,small,triangle,yellow,24,rel,adjective,distractor,60,0.178571428571429
contrast,small,triangle,yellow,24,rel,adjective,distractor.contrast,33,0.0982142857142857
contrast,small,triangle,yellow,24,rel,adjective,target,112,0.333333333333333
contrast,small,triangle,yellow,24,rel,noun,competitor,38,0.238993710691824
contrast,small,triangle,yellow,24,rel,noun,distractor,17,0.106918238993711
contrast,small,triangle,yellow,24,rel,noun,distractor.contrast,48,0.30188679245283
contrast,small,triangle,yellow,24,rel,noun,target,56,0.352201257861635
contrast,small,triangle,yellow,24,rel,prior,competitor,36,0.387096774193548
contrast,small,triangle,yellow,24,rel,prior,distractor,27,0.290322580645161
contrast,small,triangle,yellow,24,rel,prior,distractor.contrast,3,0.032258064516129
contrast,small,triangle,yellow,24,rel,prior,target,27,0.290322580645161
contrast,straight,line,blue,13,max,adjective,competitor,75,0.291828793774319
contrast,straight,line,blue,13,max,adjective,distractor,53,0.206225680933852
contrast,straight,line,blue,13,max,adjective,distractor.contrast,101,0.392996108949416
contrast,straight,line,blue,13,max,adjective,target,28,0.108949416342412
contrast,straight,line,blue,13,max,noun,competitor,55,0.354838709677419
contrast,straight,line,blue,13,max,noun,distractor.contrast,18,0.116129032258065
contrast,straight,line,blue,13,max,noun,target,82,0.529032258064516
contrast,straight,line,blue,13,max,prior,competitor,13,0.183098591549296
contrast,straight,line,blue,13,max,prior,distractor,1,0.0140845070422535
contrast,straight,line,blue,13,max,prior,distractor.contrast,45,0.633802816901408
contrast,straight,line,blue,13,max,prior,target,12,0.169014084507042
contrast,straight,line,red,18,max,adjective,competitor,98,0.235576923076923
contrast,straight,line,red,18,max,adjective,distractor,90,0.216346153846154
contrast,straight,line,red,18,max,adjective,distractor.contrast,68,0.163461538461538
contrast,straight,line,red,18,max,adjective,target,160,0.384615384615385
contrast,straight,line,red,18,max,noun,competitor,92,0.502732240437158
contrast,straight,line,red,18,max,noun,distractor.contrast,41,0.224043715846995
contrast,straight,line,red,18,max,noun,target,50,0.273224043715847
contrast,straight,line,red,18,max,prior,competitor,13,0.10077519379845
contrast,straight,line,red,18,max,prior,distractor,90,0.697674418604651
contrast,straight,line,red,18,max,prior,target,26,0.201550387596899
contrast,tall,cylinder,yellow,37,rel,adjective,competitor,91,0.369918699186992
contrast,tall,cylinder,yellow,37,rel,adjective,distractor,8,0.032520325203252
contrast,tall,cylinder,yellow,37,rel,adjective,distractor.contrast,31,0.126016260162602
contrast,tall,cylinder,yellow,37,rel,adjective,target,116,0.471544715447154
contrast,tall,cylinder,yellow,37,rel,noun,competitor,11,0.0733333333333333
contrast,tall,cylinder,yellow,37,rel,noun,distractor,25,0.166666666666667
contrast,tall,cylinder,yellow,37,rel,noun,distractor.contrast,29,0.193333333333333
contrast,tall,cylinder,yellow,37,rel,noun,target,85,0.566666666666667
