"WorkerId","Answer.wrongAdj","Answer.wrongShape","Input.List","SceneID","Answer.choicePrior","Answer.choiceAdj","Answer.choiceWhole","Turn","sceneConfigs","timePrior","timeAdj","timeWhole","Condition","TargetNoun","TargetAdjective","TargetColor","AdjectiveType"
"A3URMVMNIEN5LX","No","No","TlessC1",87,"Contrast","{}","Target",2,"CDAB","5594","NA","2553","F3_NmCppTisD","triangle","none","red","none"
"A3URMVMNIEN5LX","No","No","TlessC1",88,"Contrast","{}","Target",101,"DCAB","6339","NA","2329","F3_NmCppTisD","rectangle","none","green","none"
"A3URMVMNIEN5LX","No","No","TlessC1",89,"Target","{}","Target",14,"BACD","3625","NA","11211","F3_NmCppTisD","arrow","none","blue","none"
"A3URMVMNIEN5LX","No","No","TlessC1",90,"Competitor","{}","Target",110,"CABD","4285","NA","2066","F3_NmCppTisD","oval","none","red","none"
"A3URMVMNIEN5LX","No","No","TlessC1",91,"Target","{}","Target",43,"ACDB","2875","NA","1306","F4_NmNCppCp","square","none","yellow","none"
"A3URMVMNIEN5LX","No","No","TlessC1",92,"Target","{}","Target",49,"BCAD","11848","NA","1648","F4_NmNCppCp","circle","none","red","none"
"A3URMVMNIEN5LX","No","No","TlessC1",93,"Competitor","{}","Target",63,"ADCB","2988","NA","2078","F4_NmNCppCp","triangle","none","green","none"
"A3URMVMNIEN5LX","No","No","TlessC1",94,"Contrast","{}","Target",119,"CADB","2279","NA","2503","F4_NmNCppCp","arrow","none","blue","none"
"A3URMVMNIEN5LX","No","No","TlessC1",95,"Competitor","{}","Target",26,"BDCA","4374","NA","2490","F4_NmNCppCp","line","none","yellow","none"
"A3URMVMNIEN5LX","No","No","TlessC1",96,"Distractor","{}","Target",56,"DCAB","2492","NA","2240","F4_NmNCppCp","oval","none","red","none"
"A3URMVMNIEN5LX","No","No","TlessC1",97,"Contrast","{}","Target",91,"ACBD","2491","NA","2117","F4_NmNCppCp","rectangle","none","green","none"
"A3URMVMNIEN5LX","No","No","TlessC1",98,"Distractor","{}","Target",12,"ABDC","4136","NA","2270","F4_NmNCppCp","heart","none","blue","none"
"A3URMVMNIEN5LX","No","No","TlessC1",99,"Contrast","{}","Target",5,"CBAD","8098","NA","2402","F4_NmNCppCp","star","none","yellow","none"
"A3URMVMNIEN5LX","No","No","TlessC1",100,"Target","{}","Target",22,"BCDA","4132","NA","1533","F4_NmNCppCp","sun","none","red","none"
"A3URMVMNIEN5LX","No","No","TlessC1",101,"Distractor","Target","Target",82,"CADB","5617","3184","1266","F5_MCppisD","square","blue","blue","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",102,"Distractor","Target","Target",34,"DCBA","3499","2098","1361","F5_MCppisD","circle","yellow","yellow","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",103,"Competitor","Target","Target",106,"CABD","3302","2205","1691","F5_MCppisD","triangle","red","red","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",104,"Competitor","Target","Target",81,"BDCA","4634","2042","1499","F5_MCppisD","rectangle","green","green","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",105,"Contrast","Target","Target",33,"ADCB","4251","2297","1684","F5_MCppisD","line","blue","blue","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",106,"Competitor","Target","Target",99,"CDAB","2627","2217","1306","F5_MCppisD","oval","yellow","yellow","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",107,"Contrast","Target","Target",113,"ACBD","2678","1968","1269","F5_MCppisD","triangle","red","red","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",108,"Target","Target","Target",4,"ADCB","5309","1934","2630","F5_MCppisD","rectangle","green","green","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",109,"Contrast","Target","Target",36,"ABDC","4301","3332","2423","F5_MCppisD","arrow","blue","blue","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",110,"Distractor","Target","Target",55,"ACBD","4957","1850","1109","F5_MCppisD","oval","red","red","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",111,"Competitor","Target","Target",28,"DCAB","16567","4872","2247","F6_MNCpp","square","yellow","yellow","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",112,"Distractor","Target","Target",89,"BACD","2425","2640","1256","F6_MNCpp","circle","red","red","Col"
"A3URMVMNIEN5LX","No","No","TlessC1",113,"Competitor","Target","Target",111,"DCAB","2742","2041","1407","F6_MNCpp","triangle","green","green","Col"
