"Language","1 competitor","2 competitors","No competitors"
"Hungarian",0.414585698070375,0.450370792926412,0.491645426224865
"Hungarian",0.502252252252252,0.430908065425832,0.53125
"Hungarian",0.405160390516039,0.434881455017863,0.463840399002494
"Hungarian",0.450396825396825,0.485439638111394,0.560193072118115
"Hungarian",0.438063063063063,0.528651190126359,0.516047297297297
"Hungarian",0.333620937589876,0.419484240687679,0.508459994264411
"Hungarian",0.455238633154476,0.504222972972973,0.584060827935793
"Hungarian",0.408174850979279,0.427439886845827,0.535159559446484
"Hungarian",0.407648725212465,0.420740322124894,0.542322542322542
"Hungarian",0.389632583309598,0.361339767243826,0.426124818577649
"Hungarian",0.408267270668177,0.432686654908877,0.454699407281964
"Hungarian",0.402676752982252,0.514902072097644,0.436374549819928
"Hungarian",0.398085585585586,0.474738921817669,0.445352112676056
"Hungarian",0.48014440433213,0.483113909559244,0.518103448275862
"Hungarian",0.446217494089835,0.440902679830748,0.543705799151344
"Hungarian",0.375922100914724,0.313486156594224,0.488399412628488
"Hungarian",0.455837870538415,0.34374112971899,0.461336445871024
"Hungarian",0.383526747806397,0.485131690739167,0.553525549528975
"Hungarian",0.468574800826202,0.447308781869688,0.580729927007299
"Hungarian",0.358787878787879,0.285544318857823,0.365116279069767
"Hungarian",0.396056338028169,0.425675675675676,0.584788732394366
"Hungarian",0.358665430954588,0.464558034453544,0.395774647887324
"Wolof",0.561797752808989,0.543824027072758,0.546858359957402
"Wolof",0.5650765606596,0.428931875525652,0.542007637752319
"Wolof",0.554556006964597,0.395068975638392,0.48592115848753
"Wolof",0.594291212315587,0.394630872483221,0.533564198188599
"Wolof",0.456976744186047,0.303824799506478,0.424250607615447
"Wolof",0.558991293905734,0.432889628397116,0.617533185840708
"Wolof",0.504733727810651,0.47579065211307,0.583645109567076
"Wolof",0.552457302195887,0.471686372121966,0.491733181299886
"Wolof",NA,0.436682725395733,NA
"Wolof",0.549390243902439,0.420344928383514,0.544062332079527
"Wolof",0.498722044728435,0.401210395158419,0.654636313159356
"Wolof",0.490499457111835,0.357294510160752,0.51340589328378
"Wolof",0.571718931475029,0.366687004270897,0.527582477014602
"Wolof",0.518539976825029,0.43071735131821,0.551384451544196
"Wolof",0.535794542536116,0.413862718707941,0.531015299026426
"Wolof",0.468264248704663,0.467146433041302,0.494758909853249
"Wolof",0.570063694267516,0.470480827754108,0.551476456504389
"Wolof",0.680494263018535,0.451867597935014,0.552124645892351
"Wolof",0.589930440543226,0.49609375,0.569198438907235
"Wolof",0.440699126092385,0.399487836107554,0.502463054187192
"Wolof",0.557751182855552,0.377955173472521,0.484300159659393
"Wolof",NA,0.372005636449037,NA
"Wolof",0.506088926649674,0.543677458766035,0.527982527982528
"Wolof",0.519052193403778,0.375688916105328,0.478214665249734
"Wolof",0.514376996805112,0.444055944055944,0.542467279309385
"Wolof",0.519689257969462,0.412152479220407,0.554869492001123
"Wolof",0.622313671696388,0.402902262057192,0.561419472247498
"Wolof",0.496378830083565,0.431262299690751,0.551014884979702
