,,WorkerId,Answer.wrongShape,Input.List,SceneID,Answer.freeGenCrit,turnOrder,sceneConfigs,RT,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType,refType
68,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,28,square,11,ABCD,4407,NoContrast,spiral,short,red,Rel,4
69,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,29,thin line,19,DACB,11409,Contrast,line,thick,yellow,Rel,4
70,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,30,dotted circle,26,CBAD,4495,NoContrast,line,thin,blue,Rel,3
71,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,31,short segment,15,DABC,4077,Contrast,line,long ,green,Rel,4
72,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,32,cookie,1,BCAD,22499,NoContrast,line,short,red,Rel,4
73,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,33,segment,20,BACD,11080,Contrast,triangle,big,yellow,Rel,3
74,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,34,triangle,25,BDAC,9413,NoContrast,square,small,blue,Rel,2
75,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,35,oval,14,DACB,6763,Contrast,rectangle,wide,yellow,Rel,2
76,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,36,oval,36,DCAB,9849,NoContrast,oval,narrow,red,Rel,1
77,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,37,wide cylinder,3,DBAC,7385,Contrast,cylinder,tall,yellow,Rel,4
78,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,38,cloud,38,CDAB,2304,NoContrast,cylinder,short,green,Rel,3
79,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,39,thin segment,40,BCAD,5510,Contrast,line,thick,blue,Rel,4
80,ryq99q7fry,A207IHY6GERCFO,0,TlessC1,40,segment,39,DCAB,2799,NoContrast,line,thin,red,Rel,1
81,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,1,star,29,BDAC,2486,Contrast,square,bumpy,blue,Min,4
82,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,2,semi-circle,14,DBAC,2936,NoContrast,circle,open,blue,Min,1
83,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,3,cloud,35,BACD,7425,Contrast,line,bent,green,Min,3
84,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,4,arrow,13,ACBD,3588,NoContrast,line,curved,red,Min,2
85,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,5,triangle,31,DACB,2857,Contrast,circle,spotted,yellow,Min,3
86,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,6,triangle,10,CADB,5322,NoContrast,square,striped,yellow,Min,2
87,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,7,circle,7,BDAC,2790,Contrast,triangle,bumpy,red,Min,3
88,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,8,lightening bolt,21,BDCA,3274,NoContrast,line,curved,blue,Min,4
89,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,9,triangle,5,DABC,13297,Contrast,square,spotted,yellow,Min,2
90,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,10,square,16,ADBC,2948,NoContrast,triangle,striped,red,Min,2
91,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,11,circle with four dots on it,38,BDCA,3780,Contrast,cirlce,flat,green,Max,4
92,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,12,square,32,CDBA,4647,NoContrast,cirlce,closed,green,Max,2
93,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,13,arrow,26,DABC,5074,Contrast,line,straight,blue,Max,2
94,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,14,arrows,24,CBDA,2284,NoContrast,cube,full,yellow,Max,3
95,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,15,box with less water in it,22,DCAB,3341,Contrast,cube,empty ,transparent,Max,1
96,moyxgjnhp5,A1689SP9SJBJDA,0,TlessC1,16,circle,18,ACDB,2900,NoContrast,triangle,flat,yellow,Max,3
