"cond","pragContext","window","Region","trialType","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","adjective","other","train","big","flute",1,0.733333333333333,0.466666666666667,0.933333333333333,0.370573566084788
"contrast","unreliable","adjective","target","train","big","hammock",1,0.133333333333333,0,0.333333333333333,0.192460317460317
"contrast","unreliable","adjective","competitor","train","big","hammock",1,0.2,0,0.4,0.316964285714286
"contrast","unreliable","adjective","other","train","big","hammock",1,0.666666666666667,0.4,0.866666666666667,0.490575396825397
"contrast","unreliable","adjective","target","train","big","house",1,0.214285714285714,0,0.428571428571429,0.230309072781655
"contrast","unreliable","adjective","competitor","train","big","house",1,0.0714285714285714,0,0.214285714285714,0.444666001994018
"contrast","unreliable","adjective","other","train","big","house",1,0.714285714285714,0.428571428571429,0.928571428571429,0.325024925224327
"contrast","unreliable","adjective","target","train","big","jeep",1,0.428571428571429,0.214285714285714,0.642857142857143,0.261904761904762
"contrast","unreliable","adjective","competitor","train","big","jeep",1,0,0,0,0.351190476190476
"contrast","unreliable","adjective","other","train","big","jeep",1,0.571428571428571,0.285714285714286,0.857142857142857,0.386904761904762
"contrast","unreliable","adjective","target","train","big","lifevest",1,0.4,0.2,0.666666666666667,0.369727047146402
"contrast","unreliable","adjective","competitor","train","big","lifevest",1,0.333333333333333,0.133333333333333,0.6,0.171712158808933
"contrast","unreliable","adjective","other","train","big","lifevest",1,0.266666666666667,0.0666666666666667,0.533333333333333,0.458560794044665
"contrast","unreliable","adjective","target","train","big","mushroom",1,0.733333333333333,0.466666666666667,0.933333333333333,0.320436507936508
"contrast","unreliable","adjective","competitor","train","big","mushroom",1,0.0666666666666667,0,0.2,0.286706349206349
"contrast","unreliable","adjective","other","train","big","mushroom",1,0.2,0,0.401666666666665,0.392857142857143
"contrast","unreliable","adjective","target","train","big","paperbag",1,0.466666666666667,0.2,0.733333333333333,0.297123015873016
"contrast","unreliable","adjective","competitor","train","big","paperbag",1,0.0666666666666667,0,0.2,0.387400793650794
"contrast","unreliable","adjective","other","train","big","paperbag",1,0.466666666666667,0.2,0.733333333333333,0.31547619047619
"contrast","unreliable","adjective","target","train","big","pool",1,0.466666666666667,0.2,0.666666666666667,0.393532338308458
"contrast","unreliable","adjective","competitor","train","big","pool",1,0.333333333333333,0.133333333333333,0.6,0.314427860696517
"contrast","unreliable","adjective","other","train","big","pool",1,0.2,0,0.4,0.292039800995025
"contrast","unreliable","adjective","target","train","big","rope",1,0.266666666666667,0.0666666666666667,0.466666666666667,0.300099206349206
"contrast","unreliable","adjective","competitor","train","big","rope",1,0.133333333333333,0,0.333333333333333,0.353670634920635
"contrast","unreliable","adjective","other","train","big","rope",1,0.6,0.333333333333333,0.866666666666667,0.346230158730159
"contrast","unreliable","adjective","target","train","big","seahorse",1,0.466666666666667,0.2,0.733333333333333,0.28671679197995
"contrast","unreliable","adjective","competitor","train","big","seahorse",1,0.266666666666667,0.0666666666666667,0.533333333333333,0.308270676691729
"contrast","unreliable","adjective","other","train","big","seahorse",1,0.266666666666667,0.0666666666666667,0.466666666666667,0.405012531328321
"contrast","unreliable","adjective","target","train","big","suit",1,0.333333333333333,0.0666666666666667,0.6,0.34077380952381
"contrast","unreliable","adjective","competitor","train","big","suit",1,0.0666666666666667,0,0.2,0.358630952380952
"contrast","unreliable","adjective","other","train","big","suit",1,0.6,0.333333333333333,0.866666666666667,0.300595238095238
"contrast","unreliable","adjective","target","train","big","target",1,0.4,0.133333333333333,0.666666666666667,0.407296351824088
"contrast","unreliable","adjective","competitor","train","big","target",1,0.0666666666666667,0,0.2,0.275862068965517
"contrast","unreliable","adjective","other","train","big","target",1,0.533333333333333,0.266666666666667,0.733333333333333,0.316841579210395
