"condition","itemid","Window","Region","freq.eye","prop.eye","freq.click","prop.click"
"contrast",27,"adjective","target",88,0.394618834080717,7,0.14
"contrast",27,"noun","competitor",8,0.275862068965517,9,0.18
"contrast",27,"noun","distractor",1,0.0344827586206897,0,0
"contrast",27,"noun","contrast",0,0,0,0
"contrast",27,"noun","target",20,0.689655172413793,41,0.82
"contrast",27,"prior","competitor",43,0.212871287128713,23,0.46
"contrast",27,"prior","distractor",63,0.311881188118812,12,0.24
"contrast",27,"prior","contrast",46,0.227722772277228,3,0.06
"contrast",27,"prior","target",50,0.247524752475248,12,0.24
"contrast",28,"adjective","competitor",69,0.246428571428571,11,0.22
"contrast",28,"adjective","distractor",20,0.0714285714285714,1,0.02
"contrast",28,"adjective","contrast",39,0.139285714285714,0,0
"contrast",28,"adjective","target",152,0.542857142857143,38,0.76
"contrast",28,"noun","competitor",4,0.2,0,0
"contrast",28,"noun","distractor",0,0,0,0
"contrast",28,"noun","contrast",2,0.1,1,0.02
"contrast",28,"noun","target",14,0.7,49,0.98
"contrast",28,"prior","competitor",62,0.261603375527426,7,0.14
"contrast",28,"prior","distractor",33,0.139240506329114,22,0.44
"contrast",28,"prior","contrast",53,0.223628691983122,8,0.16
"contrast",28,"prior","target",89,0.375527426160338,13,0.26
"contrast",29,"adjective","competitor",55,0.283505154639175,23,0.46
"contrast",29,"adjective","distractor",14,0.0721649484536082,3,0.06
"contrast",29,"adjective","contrast",34,0.175257731958763,1,0.02
"contrast",29,"adjective","target",91,0.469072164948454,23,0.46
"contrast",29,"noun","competitor",2,0.0357142857142857,10,0.2
"contrast",29,"noun","distractor",2,0.0357142857142857,0,0
"contrast",29,"noun","contrast",0,0,2,0.04
"contrast",29,"noun","target",52,0.928571428571429,38,0.76
"contrast",29,"prior","competitor",58,0.288557213930348,9,0.18
"contrast",29,"prior","distractor",27,0.134328358208955,22,0.44
"contrast",29,"prior","contrast",45,0.223880597014925,12,0.24
"contrast",29,"prior","target",71,0.353233830845771,7,0.14
"contrast",30,"adjective","competitor",55,0.195035460992908,18,0.36
"contrast",30,"adjective","distractor",0,0,1,0.02
"contrast",30,"adjective","contrast",36,0.127659574468085,1,0.02
"contrast",30,"adjective","target",191,0.677304964539007,30,0.6
"contrast",30,"noun","competitor",0,0,9,0.18
"contrast",30,"noun","distractor",0,0,0,0
"contrast",30,"noun","contrast",0,0,0,0
"contrast",30,"noun","target",0,0,41,0.82
"contrast",30,"prior","competitor",52,0.207171314741036,6,0.12
"contrast",30,"prior","distractor",18,0.0717131474103586,21,0.42
"contrast",30,"prior","contrast",96,0.382470119521912,11,0.22
"contrast",30,"prior","target",85,0.338645418326693,12,0.24
"contrast",31,"adjective","competitor",70,0.311111111111111,30,0.6
"contrast",31,"adjective","distractor",5,0.0222222222222222,3,0.06
"contrast",31,"adjective","contrast",23,0.102222222222222,1,0.02
"contrast",31,"adjective","target",127,0.564444444444444,16,0.32
"contrast",31,"noun","competitor",8,0.235294117647059,19,0.38
"contrast",31,"noun","distractor",0,0,0,0
"contrast",31,"noun","contrast",3,0.0882352941176471,0,0
"contrast",31,"noun","target",23,0.676470588235294,31,0.62
"contrast",31,"prior","competitor",42,0.244186046511628,14,0.28
"contrast",31,"prior","distractor",24,0.13953488372093,24,0.48
"contrast",31,"prior","contrast",53,0.308139534883721,7,0.14
"contrast",31,"prior","target",53,0.308139534883721,5,0.1
"contrast",32,"adjective","competitor",19,0.0595611285266458,2,0.04
"contrast",32,"adjective","distractor",1,0.00313479623824451,0,0
"contrast",32,"adjective","contrast",74,0.231974921630094,2,0.04
"contrast",32,"adjective","target",225,0.705329153605016,46,0.92
"contrast",32,"noun","competitor",0,0,0,0
"contrast",32,"noun","distractor",0,0,0,0
