WorkerId,Answer.wrongAdj,Answer.wrongShape,Input.List,SceneID,Answer.choicePrior,Answer.choiceAdj,Answer.choiceWhole,Turn,sceneConfigs,timePrior,timeAdj,timeWhole,Condition,TargetNoun,TargetAdjective,TargetColor,AdjectiveType
plecti36g9fb,No,No,TmoreC1,119,Distractor,Target,Target,88,CDAB,2073,1519,1231,F6_MNCpp,star,yellow,yellow,Col
plecti36g9fb,No,No,TmoreC1,120,Competitor,Target,Target,3,ABCD,3049,1775,1375,F6_MNCpp,sun,red,red,Col
z553g2hwcqq9,No,No,TmoreC1,1,Target,Target,Contrast,112,CDAB,1217,1853,1570,Contrast,square,bumpy,blue,Min
z553g2hwcqq9,No,No,TmoreC1,2,Distractor,Competitor,Target,63,CADB,2255,1548,1390,NoContrast,circle,open,blue,Min
z553g2hwcqq9,No,No,TmoreC1,3,Target,Target,Target,49,ACBD,1015959,695,1102,Contrast,line,bent,green,Min
z553g2hwcqq9,No,No,TmoreC1,4,Competitor,Competitor,Target,82,DACB,1649,2973,1277,NoContrast,line,curved,red,Min
z553g2hwcqq9,No,No,TmoreC1,5,Distractor,Target,Target,29,CDBA,2602,1685,1329,Contrast,circle,spotted,yellow,Min
z553g2hwcqq9,No,No,TmoreC1,6,Distractor,Target,Target,65,ADBC,2595,1608,1387,NoContrast,square,striped,yellow,Min
z553g2hwcqq9,No,No,TmoreC1,7,Distractor,Distractor,Target,78,BDAC,2006,1652,1944,Contrast,triangle,bumpy,red,Min
z553g2hwcqq9,No,No,TmoreC1,8,Distractor,Target,Target,37,BADC,1877,4293,2264,NoContrast,line,curved,blue,Min
z553g2hwcqq9,No,No,TmoreC1,9,Target,Target,Target,103,DCAB,1333,1927,1385,Contrast,square,spotted,yellow,Min
z553g2hwcqq9,No,No,TmoreC1,10,Contrast,Target,Target,24,DABC,1867,1911,2247,NoContrast,triangle,striped,red,Min
z553g2hwcqq9,No,No,TmoreC1,11,Contrast,Target,Target,79,ADCB,1699,2171,1107,Contrast,cirlce,flat,green,Max
z553g2hwcqq9,No,No,TmoreC1,12,Target,Target,Target,114,ACDB,3005,1548,1202,NoContrast,cirlce,closed,green,Max
