,trialType,cond,utterance_type,instruction,target,contrastGood,contrastBad,big_filler,small_Filler
181,filler,contrast_control,unmodified,Click on the cake,cake_small.jpg,speaker_big.jpg,cake_big.jpg,candleholder_big.jpg,candleholder_small.jpg
182,filler,contrast_control,unmodified,Click on the muffin,muffin_big.jpg,palette_small.jpg,muffin_small.jpg,goose_big.jpg,goose_small.jpg
183,filler,contrast_control,unmodified,Click on the teapot,teapot_small.jpg,funnel_big.jpg,teapot_big.jpg,burger_big.jpg,burger_small.jpg
184,filler,contrast_control,unmodified,Click on the helmet,helmet_big.jpg,cables_small.jpg,helmet_small.jpg,chick_big.jpg,chick_small.jpg
185,filler,contrast_control,unmodified,Click on the shovel,shovel_small.jpg,veggieplatter_big.jpg,shovel_big.jpg,icecreambar_big.jpg,icecreambar_small.jpg
186,filler,contrast_control,unmodified,Click on the piano,piano_big.jpg,paperclips_small.jpg,piano_small.jpg,coconut_big.jpg,coconut_small.jpg
187,filler,contrast_control,unmodified,Click on the pizza,pizza_small.jpg,blackspaceship_big.jpg,pizza_big.jpg,cougar_big.jpg,cougar_small.jpg
188,filler,contrast_control,unmodified,Click on the soap,soap_big.jpg,sportsbag_small.jpg,soap_small.jpg,croissant_big.jpg,croissant_small.jpg
189,filler,contrast_control,unmodified,Click on the trophy,trophy_small.jpg,toyfarm_big.jpg,trophy_big.jpg,pearls_big.jpg,pearls_small.jpg
190,filler,contrast_control,unmodified,Click on the dinosaur,dinosaur_big.jpg,screwdriver_small.jpg,dinosaur_small.jpg,dalmatian_big.jpg,dalmatian_small.jpg
191,filler,contrast_control,unmodified,Click on the recliner,recliner_small.jpg,shapestoy_big.jpg,recliner_big.jpg,faucet_big.jpg,faucet_small.jpg
192,filler,contrast_control,unmodified,Click on the mug,mug_big.jpg,compass_small.jpg,mug_small.jpg,floppy_big.jpg,floppy_small.jpg
193,filler,contrast_control,unmodified,Click on the lime,lime_small.jpg,milkshake_big.jpg,lime_big.jpg,frog_big.jpg,frog_small.jpg
194,filler,contrast_control,unmodified,Click on the microwave,microwave_big.jpg,wavevase_small.jpg,microwave_small.jpg,gardeningpail_big.jpg,gardeningpail_small.jpg
195,filler,contrast_control,unmodified,Click on the bucket,bucket_small.jpg,ladybug_big.jpg,bucket_big.jpg,hourglass_big.jpg,hourglass_small.jpg
196,filler,contrast_control,unmodified,Click on the scissors,scissors_big.jpg,toyoctopus_small.jpg,scissors_small.jpg,jacket_big.jpg,jacket_small.jpg
197,filler,contrast_control,unmodified,Click on the sneaker,sneaker_small.jpg,orangephone_big.jpg,sneaker_big.jpg,jetski_big.jpg,jetski_small.jpg
198,filler,contrast_control,unmodified,Click on the sponge,sponge_big.jpg,shears_small.jpg,sponge_small.jpg,ostrich_big.jpg,ostrich_small.jpg
199,filler,contrast_control,unmodified,Click on the tissues,tissues_small.jpg,bagpipes_big.jpg,tissues_big.jpg,pancakes_big.jpg,pancakes_small.jpg
200,filler,contrast_control,unmodified,Click on the cork,cork_big.jpg,toolbox_small.jpg,cork_small.jpg,pineapple_big.jpg,pineapple_small.jpg
201,filler,contrast_control,unmodified,Click on the dolphin,dolphin_small.jpg,magnifyingglass_big.jpg,dolphin_big.jpg,pingpong_big.jpg,pingpong_small.jpg
202,filler,contrast_control,unmodified,Click on the bone,bone_big.jpg,pinkdice_small.jpg,bone_small.jpg,puppy_big.jpg,puppy_small.jpg
203,filler,contrast_control,unmodified,Click on the pillow,pillow_small.jpg,oars_big.jpg,pillow_big.jpg,redrose_big.jpg,redrose_small.jpg
204,filler,contrast_control,unmodified,Click on the cane,cane_big.jpg,stampset_small.jpg,cane_small.jpg,scarf_big.jpg,scarf_small.jpg
205,filler,contrast_control,unmodified,Click on the nest,nest_small.jpg,victrola_big.jpg,nest_big.jpg,sewingmachine_big.jpg,sewingmachine_small.jpg
206,filler,contrast_control,unmodified,Click on the barrel,barrel_big.jpg,xylophone_small.jpg,barrel_small.jpg,sandwich_big.jpg,sandwich_small.jpg
207,filler,contrast_control,unmodified,Click on the cone,cone_small.jpg,stroller_big.jpg,cone_big.jpg,sushi_big.jpg,sushi_small.jpg
208,filler,contrast_control,unmodified,Click on the basket,basket_big.jpg,toyhammer_small.jpg,basket_small.jpg,tambourine_big.jpg,tambourine_small.jpg
209,filler,contrast_control,unmodified,Click on the microscope,microscope_small.jpg,plastichouse_big.jpg,microscope_big.jpg,artichoke_big.jpg,artichoke_small.jpg
210,filler,contrast_control,unmodified,Click on the suitcase,suitcase_big.jpg,candyapple_small.jpg,suitcase_small.jpg,beaver_big.jpg,beaver_small.jpg
211,filler,contrast_control,unmodified,Click on the baseballglove,baseballglove_small.jpg,africanmask_big.jpg,baseballglove_big.jpg,candle_big.jpg,candle_small.jpg
212,filler,contrast_control,unmodified,Click on the bill,bill_big.jpg,babycup_small.jpg,bill_small.jpg,anchor_big.jpg,anchor_small.jpg
213,filler,contrast_control,unmodified,Click on the fridge,fridge_small.jpg,groceries_big.jpg,fridge_big.jpg,beaker_big.jpg,beaker_small.jpg
214,filler,contrast_control,unmodified,Click on the laptop,laptop_big.jpg,hay_small.jpg,laptop_small.jpg,fishingpole_big.jpg,fishingpole_small.jpg
215,filler,contrast_control,unmodified,Click on the pie,pie_small.jpg,bandage_big.jpg,pie_big.jpg,globe_big.jpg,globe_small.jpg
216,filler,contrast_control,unmodified,Click on the tape,tape_big.jpg,cookiecutter_small.jpg,tape_small.jpg,rollingpin_big.jpg,rollingpin_small.jpg
217,filler,contrast_control,unmodified,Click on the flag,flag_small.jpg,pooltable_big.jpg,flag_big.jpg,carseat_big.jpg,carseat_small.jpg
218,filler,contrast_control,unmodified,Click on the desk,desk_big.jpg,bowlofoatmeal_small.jpg,desk_small.jpg,crown_big.jpg,crown_small.jpg
219,filler,contrast_control,unmodified,Click on the microphone,microphone_small.jpg,brochette_big.jpg,microphone_big.jpg,gong_big.jpg,gong_small.jpg
220,filler,contrast_control,unmodified,Click on the panda,panda_big.jpg,brooch_small.jpg,panda_small.jpg,hookah_big.jpg,hookah_small.jpg
221,filler,contrast_control,unmodified,Click on the brain,brain_small.jpg,candycanes_big.jpg,brain_big.jpg,lightbulb_big.jpg,lightbulb_small.jpg
222,filler,contrast_control,unmodified,Click on the gun,gun_big.jpg,bush_small.jpg,gun_small.jpg,stove_big.jpg,stove_small.jpg
223,filler,contrast_control,unmodified,Click on the stoplight,stoplight_small.jpg,chess_big.jpg,stoplight_big.jpg,wheelchair_big.jpg,wheelchair_small.jpg
224,filler,contrast_control,unmodified,Click on the lizard,lizard_big.jpg,chowchow_small.jpg,lizard_small.jpg,accordion_big.jpg,accordion_small.jpg
