,filename,intro_onset,intro_offset,adj_onset,adj_offset,noun_onset,noun_offset,introDur,adjDur,nounDur
176,hammer_small.wav,0,535.9859474,535.9859474,1234.180079,1279.043959,1914.104308,535.9859474,698.1941321,635.060349
177,hammock_big.wav,16.53077351,521.7802458,634.6551279,989.4047575,1126.467114,1822.528887,505.2494723,354.7496295,696.061773
178,hanger_wood.wav,0,517.5588155,517.5588155,915.9646204,1057.015123,1680.606817,517.5588155,398.4058049,623.5916947
179,harp_small.wav,0,466.825651,466.825651,1096.908795,1197.038287,1667.120181,466.825651,630.0831439,470.0818946
180,hat_big.wav,0,487.6573548,600.4621471,932.1082364,1049.42522,1534.485827,487.6573548,331.6460893,485.0606067
181,hawk.wav,0,480.4764811,NA,NA,480.4764811,1011.129648,480.4764811,NA,530.6531673
182,hawk_big.wav,0,553.9680663,649.15546,1019.885309,1105.052977,1709.954649,553.9680663,370.7298489,604.9016717
183,helmet.wav,0,436.7754749,NA,NA,436.7754749,1096.456299,436.7754749,NA,659.6808241
184,highlighter_yellow.wav,0,420.2912369,420.2912369,873.0724795,873.0724795,1601.473923,420.2912369,452.7812426,728.4014434
185,hippo.wav,0,489.4294493,NA,NA,489.4294493,1050.136054,489.4294493,NA,560.7066051
186,hippo_big.wav,0,447.571594,542.2201263,878.2224158,965.7723081,1615.260771,447.571594,336.0022895,649.4884628
187,horse.wav,0,506.7091395,NA,NA,506.7091395,1175.918367,506.7091395,NA,669.2092278
188,horse_small.wav,0,535.5427575,535.5427575,1155.596941,1209.391596,1932.743764,535.5427575,620.0541837,723.3521678
189,hotdog.wav,0,542.1142651,NA,NA,542.1142651,1378.446926,542.1142651,NA,836.3326607
190,hotdog_small.wav,0,505.4706025,505.4706025,1182.91721,1284.534201,2102.040816,505.4706025,677.4466072,817.5066155
191,house_big.wav,0,468.734791,587.0344944,934.6907657,982.9763589,1644.488986,468.734791,347.6562712,661.5126272
